count,hate_speech,offensive_language,neither,class,tweet
3,1,2,0,1,"RT @HENNERGIZED: &#128557;&#128557;&#128557;&#8220;@StopBeingSober: Yall say ""Why you dating lil girls"" like mature hoes just on a rampage outside.&#8221;"
3,0,3,0,1,We are back bitches! @vnpacheco21 @xoxoclaire_ @treyhunter_ @Medgmon @delaney_jade @sean_steezy @alexistiefa
3,0,3,0,1,"RT @SuperrrrMcNasty: Lmfao , this bitch was giving head in the back of a classroom she better go tf ahead !"
3,0,3,0,1,@bradley_eckman don't say shit like that lil nig .. Or I'll give you a &#127812; stamp
3,1,2,0,1,Young jezzy dat nigguh
3,0,3,0,1,"Same shit RT @Che_TheYello1: But your bm tho? ... ""@viaNAWF: If my ex wanna go fuck my enemy, may God be with her. Ain't my hoe no more."""
3,0,0,3,2,RT @SumGurl07: So cute! :) RT @iTweetFacts: Shy bunny... http://t.co/z4u6NpORdz
3,0,3,0,1,This bitch always got shit to say about what other people like
3,0,3,0,1,RT @drewbillionaire: I just wanna pimp these hoe$ &amp; Ride Rarri's
3,0,3,0,1,I heard them same pussy niggas hatin !
3,0,0,3,2,RT @michael4h2o: An #Ohio inmate sums up what #LeBronJames' return means for #Cleveland: http://t.co/a68mtZQOeL http://t.co/bMrzFWstVA #Leb&#8230;
3,0,3,0,1,"RT @OHHHME: I just want the money, ian trippin on these hoes"
3,1,2,0,1,"Y'all men need to watch these ""cream pies"" bitches be having yeast infections &amp; on a 7 day monistat treatment. Know the difference"
3,0,3,0,1,RT @smithmuffins: once at a gradeschool dance i tried to do the worm to impress this bitch and i slammed my dick on the unforgiving ceramic&#8230;
3,0,0,3,2,"Perhaps I'm not a ""diehard"" Yankee fan, but there's no more point in watching this debacle #Yankees #Tigers #MLB So what else is on? LOL"
3,0,3,0,1,The homie reallly LOVE fat bitches &#128514;&#128557;&#128514; like in LOVE
3,0,3,0,1,@_Dbankss orr why? Thts my lor bae tho wyd why u fucking up hoe?
3,0,0,3,2,RT @Yankees: Time to bounce in the Bronx. #LetsGoYankees #Walkoff http://t.co/W5ATfRsLKK
6,1,5,0,1,Bitches rather be petty with his hoes instead of posting bail now that ah really fck em up.....psa
3,0,1,2,2,"""@MaxMayo77: http://t.co/3Jk4kR44X3"" a pissed lad past out. I would lick his dirty soles while he slept."
3,0,3,0,1,Jealous bitches smh
3,0,3,0,1,@Channnteeel pussy
3,2,1,0,0,@Woody_AFC @MrGAM3R49 @MANIAC3X fuck outta here faggot that wouldn't even be a fair
3,1,2,0,1,Wish I got hoes like James Bond
3,0,0,3,2,RT @Smart_Cookie86: If I had to pick a President of the Uncle Tom association I would pick Larry Elder.
3,0,3,0,1,These bitches dont want no boyfriend ... They want a pimp
3,0,3,0,1,Fuk dat bitch lol @dropolo voice
3,1,0,2,2,Someone tell @RSherman_25 his dreads are part of the uniform. I'd pull your hair too. Why are you trash talking? Cut your Doodoo braids.
3,0,0,3,2,Appropriately this guy wears the WV yellow Rick James on his face. @BarkingCarnival http://t.co/SGb9rYvdmb
3,0,3,0,1,RT @AllyMarshalll: Good riddance bitches &#128079;&#9996;&#128075; http://t.co/deQBjLFtxz
3,0,1,2,2,The Pirates have made the playoffs and the Yankees are out...hell has frozen over
6,0,6,0,1,I swear I needa go on n go back to the old me because bitches think its a game apparently. Let's be real !
3,1,0,2,2,@Chancellor_IV naw Bryan said it was trash hotel so we're staying somewhere else
